"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00025333","SITKA AIRPORT, AK US","2018-01-01","0.45",,"48","38"
"USW00025333","SITKA AIRPORT, AK US","2018-01-02","0.56",,"48","43"
"USW00025333","SITKA AIRPORT, AK US","2018-01-03","0.40",,"46","41"
"USW00025333","SITKA AIRPORT, AK US","2018-01-04","0.99",,"42","40"
"USW00025333","SITKA AIRPORT, AK US","2018-01-05","0.25",,"46","38"
"USW00025333","SITKA AIRPORT, AK US","2018-01-06","0.46",,"44","37"
"USW00025333","SITKA AIRPORT, AK US","2018-01-07","0.01",,"39","30"
"USW00025333","SITKA AIRPORT, AK US","2018-01-08","0.00",,"36","28"
"USW00025333","SITKA AIRPORT, AK US","2018-01-09","0.13",,"34","25"
"USW00025333","SITKA AIRPORT, AK US","2018-01-10","0.00",,"28","24"
"USW00025333","SITKA AIRPORT, AK US","2018-01-11","0.00",,"34","23"
"USW00025333","SITKA AIRPORT, AK US","2018-01-12","0.18",,"41","33"
"USW00025333","SITKA AIRPORT, AK US","2018-01-13","0.05",,"53","41"
"USW00025333","SITKA AIRPORT, AK US","2018-01-14","0.07",,"63","52"
"USW00025333","SITKA AIRPORT, AK US","2018-01-15","0.01",,"60","52"
"USW00025333","SITKA AIRPORT, AK US","2018-01-16","0.40",,"54","41"
"USW00025333","SITKA AIRPORT, AK US","2018-01-17","0.01",,"47","36"
"USW00025333","SITKA AIRPORT, AK US","2018-01-18","0.00",,"46","35"
"USW00025333","SITKA AIRPORT, AK US","2018-01-19","0.00",,"42","37"
"USW00025333","SITKA AIRPORT, AK US","2018-01-20","0.00",,"45","39"
"USW00025333","SITKA AIRPORT, AK US","2018-01-21","0.00",,"43","36"
"USW00025333","SITKA AIRPORT, AK US","2018-01-22","0.42",,"41","33"
"USW00025333","SITKA AIRPORT, AK US","2018-01-23","0.00",,"41","33"
"USW00025333","SITKA AIRPORT, AK US","2018-01-24","0.04",,"40","34"
"USW00025333","SITKA AIRPORT, AK US","2018-01-25","0.00",,"40","31"
"USW00025333","SITKA AIRPORT, AK US","2018-01-26","0.16",,"41","31"
"USW00025333","SITKA AIRPORT, AK US","2018-01-27","0.00",,"39","29"
"USW00025333","SITKA AIRPORT, AK US","2018-01-28","0.00",,"40","34"
"USW00025333","SITKA AIRPORT, AK US","2018-01-29","0.00",,"40","36"
"USW00025333","SITKA AIRPORT, AK US","2018-01-30","0.00",,"39","31"
"USW00025333","SITKA AIRPORT, AK US","2018-01-31","0.00",,"36","29"
"USW00025333","SITKA AIRPORT, AK US","2018-02-01","0.00",,"35","31"
"USW00025333","SITKA AIRPORT, AK US","2018-02-02","0.00",,"35","26"
"USW00025333","SITKA AIRPORT, AK US","2018-02-03","0.00",,"34","24"
"USW00025333","SITKA AIRPORT, AK US","2018-02-04","0.00",,"42","28"
"USW00025333","SITKA AIRPORT, AK US","2018-02-05","0.00",,"41","28"
"USW00025333","SITKA AIRPORT, AK US","2018-02-06","0.10",,"39","33"
"USW00025333","SITKA AIRPORT, AK US","2018-02-07","0.00",,"42","31"
"USW00025333","SITKA AIRPORT, AK US","2018-02-08","0.00",,"39","28"
"USW00025333","SITKA AIRPORT, AK US","2018-02-09","0.00",,"37","25"
"USW00025333","SITKA AIRPORT, AK US","2018-02-10","0.00",,"37","24"
"USW00025333","SITKA AIRPORT, AK US","2018-02-11","0.00",,"40","32"
"USW00025333","SITKA AIRPORT, AK US","2018-02-12","1.24",,"43","35"
"USW00025333","SITKA AIRPORT, AK US","2018-02-13","0.37",,"41","31"
"USW00025333","SITKA AIRPORT, AK US","2018-02-14","0.00",,"40","29"
"USW00025333","SITKA AIRPORT, AK US","2018-02-15","0.43",,"38","33"
"USW00025333","SITKA AIRPORT, AK US","2018-02-16","0.00",,"36","28"
"USW00025333","SITKA AIRPORT, AK US","2018-02-17","0.00",,"37","30"
"USW00025333","SITKA AIRPORT, AK US","2018-02-18","0.00",,"39","25"
"USW00025333","SITKA AIRPORT, AK US","2018-02-19","0.03",,"39","29"
"USW00025333","SITKA AIRPORT, AK US","2018-02-20","0.03",,"38","28"
"USW00025333","SITKA AIRPORT, AK US","2018-02-21","0.00",,"41","29"
"USW00025333","SITKA AIRPORT, AK US","2018-02-22","0.46",,"42","34"
"USW00025333","SITKA AIRPORT, AK US","2018-02-23","0.24",,"41","30"
"USW00025333","SITKA AIRPORT, AK US","2018-02-24","0.58",,"39","30"
"USW00025333","SITKA AIRPORT, AK US","2018-02-25","0.02",,"38","32"
"USW00025333","SITKA AIRPORT, AK US","2018-02-26","0.45",,"42","33"
"USW00025333","SITKA AIRPORT, AK US","2018-02-27","0.32",,"39","32"
"USW00025333","SITKA AIRPORT, AK US","2018-02-28","0.60",,"40","30"
"USW00025333","SITKA AIRPORT, AK US","2018-03-01","0.00",,"35","27"
"USW00025333","SITKA AIRPORT, AK US","2018-03-02","0.00",,"40","26"
"USW00025333","SITKA AIRPORT, AK US","2018-03-03","0.00",,"41","25"
"USW00025333","SITKA AIRPORT, AK US","2018-03-04","0.00",,"40","27"
"USW00025333","SITKA AIRPORT, AK US","2018-03-05","0.00",,"39","25"
"USW00025333","SITKA AIRPORT, AK US","2018-03-06","0.00",,"39","31"
"USW00025333","SITKA AIRPORT, AK US","2018-03-07","0.31",,"40","32"
"USW00025333","SITKA AIRPORT, AK US","2018-03-08","0.24",,"39","33"
"USW00025333","SITKA AIRPORT, AK US","2018-03-09","0.42",,"42","33"
"USW00025333","SITKA AIRPORT, AK US","2018-03-10","0.48",,"43","34"
"USW00025333","SITKA AIRPORT, AK US","2018-03-11","0.51",,"44","34"
"USW00025333","SITKA AIRPORT, AK US","2018-03-12","0.01",,"54","36"
"USW00025333","SITKA AIRPORT, AK US","2018-03-13","0.00",,"58","39"
"USW00025333","SITKA AIRPORT, AK US","2018-03-14","0.00",,"54","42"
"USW00025333","SITKA AIRPORT, AK US","2018-03-15","0.00",,"45","36"
"USW00025333","SITKA AIRPORT, AK US","2018-03-16","0.00",,"45","36"
"USW00025333","SITKA AIRPORT, AK US","2018-03-17","0.00",,"45","34"
"USW00025333","SITKA AIRPORT, AK US","2018-03-18","0.02",,"43","33"
"USW00025333","SITKA AIRPORT, AK US","2018-03-19","0.90",,"41","36"
"USW00025333","SITKA AIRPORT, AK US","2018-03-20","0.17",,"41","33"
"USW00025333","SITKA AIRPORT, AK US","2018-03-21","0.00",,"42","30"
"USW00025333","SITKA AIRPORT, AK US","2018-03-22","0.00",,"46","34"
"USW00025333","SITKA AIRPORT, AK US","2018-03-23","0.00",,"42","31"
"USW00025333","SITKA AIRPORT, AK US","2018-03-24","0.01",,"42","28"
"USW00025333","SITKA AIRPORT, AK US","2018-03-25","0.00",,"41","32"
"USW00025333","SITKA AIRPORT, AK US","2018-03-26","0.49",,"42","31"
"USW00025333","SITKA AIRPORT, AK US","2018-03-27","0.22",,"43","38"
"USW00025333","SITKA AIRPORT, AK US","2018-03-28","0.07",,"43","36"
"USW00025333","SITKA AIRPORT, AK US","2018-03-29","0.00",,"46","33"
"USW00025333","SITKA AIRPORT, AK US","2018-03-30","0.05",,"45","28"
"USW00025333","SITKA AIRPORT, AK US","2018-03-31","0.00",,"43","33"
"USW00025333","SITKA AIRPORT, AK US","2018-04-01","0.00",,"45","31"
"USW00025333","SITKA AIRPORT, AK US","2018-04-02","0.00",,"41","30"
"USW00025333","SITKA AIRPORT, AK US","2018-04-03","0.00",,"43","28"
"USW00025333","SITKA AIRPORT, AK US","2018-04-04","0.00",,"45","31"
"USW00025333","SITKA AIRPORT, AK US","2018-04-05","0.00",,"52","38"
"USW00025333","SITKA AIRPORT, AK US","2018-04-06","0.00",,"51","45"
"USW00025333","SITKA AIRPORT, AK US","2018-04-07","0.00",,"59","38"
"USW00025333","SITKA AIRPORT, AK US","2018-04-08","0.02",,"52","40"
"USW00025333","SITKA AIRPORT, AK US","2018-04-09","0.01",,"54","43"
"USW00025333","SITKA AIRPORT, AK US","2018-04-10","0.00",,"57","45"
"USW00025333","SITKA AIRPORT, AK US","2018-04-11","0.00",,"58","43"
"USW00025333","SITKA AIRPORT, AK US","2018-04-12","0.01",,"51","43"
"USW00025333","SITKA AIRPORT, AK US","2018-04-13","0.01",,"51","40"
"USW00025333","SITKA AIRPORT, AK US","2018-04-14","0.05",,"48","37"
"USW00025333","SITKA AIRPORT, AK US","2018-04-15","0.00",,"50","34"
"USW00025333","SITKA AIRPORT, AK US","2018-04-16","0.00",,"49","35"
"USW00025333","SITKA AIRPORT, AK US","2018-04-17","0.00",,"46","34"
"USW00025333","SITKA AIRPORT, AK US","2018-04-18","0.95",,"46","41"
"USW00025333","SITKA AIRPORT, AK US","2018-04-19","0.85",,"45","40"
"USW00025333","SITKA AIRPORT, AK US","2018-04-20","0.06",,"45","34"
"USW00025333","SITKA AIRPORT, AK US","2018-04-21","0.22",,"47","32"
"USW00025333","SITKA AIRPORT, AK US","2018-04-22","0.13",,"47","41"
"USW00025333","SITKA AIRPORT, AK US","2018-04-23","0.49",,"45","43"
"USW00025333","SITKA AIRPORT, AK US","2018-04-24","0.23",,"46","41"
"USW00025333","SITKA AIRPORT, AK US","2018-04-25","0.11",,"45","41"
"USW00025333","SITKA AIRPORT, AK US","2018-04-26","0.04",,"45","41"
"USW00025333","SITKA AIRPORT, AK US","2018-04-27","0.01",,"46","40"
"USW00025333","SITKA AIRPORT, AK US","2018-04-28","0.02",,"47","38"
"USW00025333","SITKA AIRPORT, AK US","2018-04-29","0.01",,"46","38"
"USW00025333","SITKA AIRPORT, AK US","2018-04-30","0.08",,"44","39"
"USW00025333","SITKA AIRPORT, AK US","2018-05-01","0.88",,"44","42"
"USW00025333","SITKA AIRPORT, AK US","2018-05-02","0.14",,"47","36"
"USW00025333","SITKA AIRPORT, AK US","2018-05-03","0.03",,"45","36"
"USW00025333","SITKA AIRPORT, AK US","2018-05-04","0.10",,"48","42"
"USW00025333","SITKA AIRPORT, AK US","2018-05-05","0.31",,"50","44"
"USW00025333","SITKA AIRPORT, AK US","2018-05-06","0.00",,"56","41"
"USW00025333","SITKA AIRPORT, AK US","2018-05-07","0.00",,"53","43"
"USW00025333","SITKA AIRPORT, AK US","2018-05-08","0.00",,"51","43"
"USW00025333","SITKA AIRPORT, AK US","2018-05-09","0.20",,"56","43"
"USW00025333","SITKA AIRPORT, AK US","2018-05-10","0.00",,"52","43"
"USW00025333","SITKA AIRPORT, AK US","2018-05-11","0.76",,"48","44"
"USW00025333","SITKA AIRPORT, AK US","2018-05-12","0.16",,"49","44"
"USW00025333","SITKA AIRPORT, AK US","2018-05-13","0.16",,"54","43"
"USW00025333","SITKA AIRPORT, AK US","2018-05-14","0.27",,"45","39"
"USW00025333","SITKA AIRPORT, AK US","2018-05-15","0.03",,"50","38"
"USW00025333","SITKA AIRPORT, AK US","2018-05-16","0.00",,"51","38"
"USW00025333","SITKA AIRPORT, AK US","2018-05-17","0.00",,"57","38"
"USW00025333","SITKA AIRPORT, AK US","2018-05-18","0.00",,"52","45"
"USW00025333","SITKA AIRPORT, AK US","2018-05-19","0.00",,"50","45"
"USW00025333","SITKA AIRPORT, AK US","2018-05-20","0.37",,"52","46"
"USW00025333","SITKA AIRPORT, AK US","2018-05-21","0.63",,"53","47"
"USW00025333","SITKA AIRPORT, AK US","2018-05-22","0.16",,"52","44"
"USW00025333","SITKA AIRPORT, AK US","2018-05-23","0.00",,"55","42"
"USW00025333","SITKA AIRPORT, AK US","2018-05-24","0.17",,"52","45"
"USW00025333","SITKA AIRPORT, AK US","2018-05-25","0.11",,"50","45"
"USW00025333","SITKA AIRPORT, AK US","2018-05-26","0.31",,"52","44"
"USW00025333","SITKA AIRPORT, AK US","2018-05-27","0.23",,"51","45"
"USW00025333","SITKA AIRPORT, AK US","2018-05-28","1.03",,"50","42"
"USW00025333","SITKA AIRPORT, AK US","2018-05-29","0.00",,"54","41"
"USW00025333","SITKA AIRPORT, AK US","2018-05-30","0.00",,"53","44"
"USW00025333","SITKA AIRPORT, AK US","2018-05-31","0.00",,"54","42"
"USW00025333","SITKA AIRPORT, AK US","2018-06-01","0.02",,"58","44"
"USW00025333","SITKA AIRPORT, AK US","2018-06-02","0.19",,"53","45"
"USW00025333","SITKA AIRPORT, AK US","2018-06-03","0.00",,"57","43"
"USW00025333","SITKA AIRPORT, AK US","2018-06-04","0.07",,"52","46"
"USW00025333","SITKA AIRPORT, AK US","2018-06-05","0.00",,"63","44"
"USW00025333","SITKA AIRPORT, AK US","2018-06-06","0.07",,"57","47"
"USW00025333","SITKA AIRPORT, AK US","2018-06-07","0.04",,"59","48"
"USW00025333","SITKA AIRPORT, AK US","2018-06-08","0.02",,"59","45"
"USW00025333","SITKA AIRPORT, AK US","2018-06-09","0.19",,"60","44"
"USW00025333","SITKA AIRPORT, AK US","2018-06-10","1.09",,"53","46"
"USW00025333","SITKA AIRPORT, AK US","2018-06-11","0.07",,"51","49"
"USW00025333","SITKA AIRPORT, AK US","2018-06-12","0.02",,"63","46"
"USW00025333","SITKA AIRPORT, AK US","2018-06-13","0.10",,"56","49"
"USW00025333","SITKA AIRPORT, AK US","2018-06-14","0.01",,"54","49"
"USW00025333","SITKA AIRPORT, AK US","2018-06-15","0.00",,"60","50"
"USW00025333","SITKA AIRPORT, AK US","2018-06-16","0.36",,"57","48"
"USW00025333","SITKA AIRPORT, AK US","2018-06-17","0.02",,"54","52"
"USW00025333","SITKA AIRPORT, AK US","2018-06-18","0.00",,"62","52"
"USW00025333","SITKA AIRPORT, AK US","2018-06-19","0.00",,"67","52"
"USW00025333","SITKA AIRPORT, AK US","2018-06-20","0.00",,"62","52"
"USW00025333","SITKA AIRPORT, AK US","2018-06-21","0.00",,"57","52"
"USW00025333","SITKA AIRPORT, AK US","2018-06-22","0.00",,"60","52"
"USW00025333","SITKA AIRPORT, AK US","2018-06-23","0.00",,"57","49"
"USW00025333","SITKA AIRPORT, AK US","2018-06-24","0.05",,"61","50"
"USW00025333","SITKA AIRPORT, AK US","2018-06-25","0.01",,"60","50"
"USW00025333","SITKA AIRPORT, AK US","2018-06-26","0.11",,"55","49"
"USW00025333","SITKA AIRPORT, AK US","2018-06-27","0.00",,"56","50"
"USW00025333","SITKA AIRPORT, AK US","2018-06-28","0.20",,"61","50"
"USW00025333","SITKA AIRPORT, AK US","2018-06-29","0.38",,"57","51"
"USW00025333","SITKA AIRPORT, AK US","2018-06-30","0.14",,"57","51"
